tclassif	cov	count	proportion	gen	Number_of_Distinct_Classifications	Z	Archilochus_colubris
DNA	73942	457	0.00102819630420288	71914283	53	Z	Archilochus_colubris
LINE	7487255	15266	0.104113601466346	71914283	126	Z	Archilochus_colubris
LTR	1418154	2530	0.0197200603390567	71914283	34	Z	Archilochus_colubris
Other (Simple Repeat, Microsatellite, RNA)	53999	445	0.00075088004423266	71914283	2	Z	Archilochus_colubris
Penelope	1903	9	0.0000264620590043288	71914283	1	Z	Archilochus_colubris
Rolling Circle	156	1	0.00000216924918795339	71914283	1	Z	Archilochus_colubris
SINE	17456	120	0.000242733421954579	71914283	3	Z	Archilochus_colubris
Unclassified	654260	1756	0.00909777547250245	71914283	77	Z	Archilochus_colubris
DNA	5037	40	0.000155606702252831	32370071	17	W	Archilochus_colubris
LINE	10135849	13063	0.313124089224271	32370071	223	W	Archilochus_colubris
LTR	13522154	9696	0.417736309568181	32370071	186	W	Archilochus_colubris
Other (Simple Repeat, Microsatellite, RNA)	783203	704	0.0241952821172372	32370071	23	W	Archilochus_colubris
SINE	16706	91	0.000516094017835179	32370071	3	W	Archilochus_colubris
Unclassified	809421	2172	0.0250052278229479	32370071	68	W	Archilochus_colubris
DNA	59535	384	0.000803647315579038	74081004	53	Z	Calypte_anna
LINE	7502406	14935	0.101273006505149	74081004	131	Z	Calypte_anna
LTR	1424003	2273	0.0192222421823549	74081004	32	Z	Calypte_anna
Other (Simple Repeat, Microsatellite, RNA)	1195821	23279	0.0161420733444703	74081004	2587	Z	Calypte_anna
Penelope	1876	8	0.0000253236308730373	74081004	1	Z	Calypte_anna
Rolling Circle	275	2	0.00000371215271326506	74081004	1	Z	Calypte_anna
SINE	17182	114	0.000231935301524801	74081004	3	Z	Calypte_anna
Unclassified	773710	1948	0.0104441079119284	74081004	85	Z	Calypte_anna
DNA	2374	20	0.0000897584035738212	26448777	15	W	Calypte_anna
LINE	7304567	9066	0.276177873933453	26448777	182	W	Calypte_anna
LTR	8858960	7091	0.334947812520783	26448777	136	W	Calypte_anna
Other (Simple Repeat, Microsatellite, RNA)	166019	1981	0.00627700101218291	26448777	501	W	Calypte_anna
SINE	459	5	0.0000173542995957809	26448777	2	W	Calypte_anna
Unclassified	434963	1123	0.0164454863073631	26448777	45	W	Calypte_anna
DNA	109076	505	0.00147603165784516	73898144	53	Z	Heliangelus_exortis
LINE	7943892	16471	0.107497855426518	73898144	143	Z	Heliangelus_exortis
LTR	1272816	2555	0.0172239237835256	73898144	35	Z	Heliangelus_exortis
Other (Simple Repeat, Microsatellite, RNA)	119008	132	0.00161043286824633	73898144	3	Z	Heliangelus_exortis
Penelope	2444	11	0.000033072549156309	73898144	1	Z	Heliangelus_exortis
Rolling Circle	187	1	0.00000253051010320367	73898144	1	Z	Heliangelus_exortis
SINE	17913	125	0.000242401216463569	73898144	3	Z	Heliangelus_exortis
Unclassified	664301	1776	0.00898941386132783	73898144	77	Z	Heliangelus_exortis
DNA	43068	108	0.00297413398408685	14480854	23	W	Heliangelus_exortis
LINE	2352969	4520	0.162488275898645	14480854	98	W	Heliangelus_exortis
LTR	6400306	4321	0.441984015583611	14480854	124	W	Heliangelus_exortis
Other (Simple Repeat, Microsatellite, RNA)	85245	82	0.00588673844788436	14480854	4	W	Heliangelus_exortis
SINE	1203	12	0.000083075210895711	14480854	2	W	Heliangelus_exortis
Unclassified	655016	1392	0.0452332438404531	14480854	50	W	Heliangelus_exortis
DNA	77640	507	0.000997432997496204	77839815	51	Z	Apus_apus
LINE	9949455	17537	0.127819612623694	77839815	130	Z	Apus_apus
LTR	1604992	2648	0.020619165140616	77839815	43	Z	Apus_apus
Other (Simple Repeat, Microsatellite, RNA)	1151309	23040	0.0147907468690669	77839815	2365	Z	Apus_apus
Penelope	2243	11	0.0000288155874985057	77839815	1	Z	Apus_apus
Rolling Circle	466	3	0.00000598665348832085	77839815	1	Z	Apus_apus
SINE	21966	162	0.000282194915288532	77839815	3	Z	Apus_apus
